CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 09:17:18+00:00,0.0,0.0
1,,,,
1,Request For Payment REJECTED by MISSING,2017-01-10 12:42:32+00:00,98714.0,0.019669142601403414
1,,,,
1,Request For Payment APPROVED by PRE_APPROVER,2017-03-03 09:51:42+00:00,4581264.0,0.9128343994841239
1,,,,
1,Request Payment,2017-03-08 11:22:42+00:00,5018724.0,0.9999999800746171
1,,,,
2,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 10:30:48+00:00,4410.0,0.0
2,,,,
2,Request Payment,2017-01-10 10:52:03+00:00,92085.0,0.99999885942531
2,,,,
3,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 11:41:36+00:00,8658.0,0.0
3,,,,
3,Request For Payment REJECTED by EMPLOYEE,2017-01-09 15:56:52+00:00,23974.0,0.05466171727586502
3,,,,
3,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-10 10:03:15+00:00,89157.0,0.28729521931247437
3,,,,
3,Payment Handled,2017-01-12 17:31:32+00:00,288854.0,0.9999996431070954
4,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:21:51+00:00,14673.0,0.0
4,,,,
4,Request For Payment REJECTED by MISSING,2017-01-10 15:34:19+00:00,109021.0,0.007045723893876498
4,,,,
4,Request For Payment APPROVED by PRE_APPROVER,2017-06-12 12:04:02+00:00,13315604.0,0.9932874820611208
4,,,,
4,Request Payment,2017-06-13 13:02:08+00:00,13405490.0,0.9999999925321958
4,,,,
5,Request For Payment SUBMITTED by EMPLOYEE,2017-01-09 13:26:20+00:00,14942.0,0.0
5,,,,
5,Request For Payment REJECTED by MISSING,2017-01-10 15:33:09+00:00,108951.0,0.00702061093616403
5,,,,
5,Request For Payment APPROVED by PRE_APPROVER,2017-06-12 12:08:14+00:00,13315856.0,0.9933149197351024
5,,,,
