CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,,,,
1,Accepted-In Progress,2012-03-15 19:53:52,194817850.0,0.0
1,,,,
1,Accepted-In Progress,2012-03-15 20:09:05,194818763.0,0.9998904829701019
1,,,,
2,,,,
2,Accepted-In Progress,2006-11-07 21:05:44,25910162.0,0.0
2,,,,
2,Accepted-In Progress,2011-09-03 14:09:09,178035567.0,0.9267448137279288
2,,,,
2,Completed-Closed,2012-01-20 18:23:27,190060425.0,0.9999999993908021
3,,,,
3,Accepted-Wait,2009-12-02 22:24:31,122769289.0,0.0
3,,,,
3,Accepted-In Progress,2012-01-18 16:52:41,189882179.0,0.9999999985099733
3,,,,
4,,,,
4,Accepted-Wait,2009-12-02 22:24:33,122769291.0,0.0
4,,,,
4,Accepted-In Progress,2012-01-18 16:20:53,189880271.0,0.9999999985099309
4,,,,
5,,,,
5,Accepted-Wait,2009-12-02 22:24:32,122769290.0,0.0
5,,,,
5,Accepted-In Progress,2011-09-05 16:24:13,178216471.0,0.8423248435549677
5,,,,
5,Accepted-In Progress,2012-01-03 19:30:35,188595653.0,0.9999999984808517
5,,,,
6,,,,
6,Accepted-In Progress,2008-10-06 23:44:37,86313295.0,0.0
6,,,,
6,Accepted-In Progress,2011-09-02 07:27:50,177925088.0,0.88310622618856
6,,,,
6,Accepted-In Progress,2012-01-20 15:53:32,190051430.0,0.9999999990360344
6,,,,
7,,,,
7,Accepted-Wait,2009-12-02 22:24:34,122769292.0,0.0
7,,,,
7,Accepted-In Progress,2011-09-03 15:02:11,178038749.0,0.8373066058197083
7,,,,
7,Accepted-In Progress,2012-01-05 22:08:18,188777916.0,0.9999999984850464
7,,,,
8,,,,
8,Accepted-In Progress,2012-01-30 18:56:24,190926402.0,0.0
8,,,,
8,Queued-Awaiting Assignment,2012-02-16 22:52:16,192409354.0,0.35072824348451537
8,,,,
8,Queued-Awaiting Assignment,2012-02-16 23:09:43,192410401.0,0.35097586611217174
8,,,,
8,Completed-Closed,2012-03-19 17:26:32,195154610.0,0.9999999763493194
9,,,,
9,Accepted-Wait,2009-12-02 22:24:35,122769293.0,0.0
9,,,,
9,Accepted-In Progress,2012-01-18 18:17:14,189887252.0,0.9999999985100859
9,,,,
10,,,,
10,Accepted-In Progress,2012-03-28 20:10:36,195942054.0,0.0
10,,,,
11,,,,
11,Queued-Awaiting Assignment,2009-08-11 15:55:12,112982730.0,0.0
11,,,,
11,Queued-Awaiting Assignment,2010-05-18 19:35:53,137187971.0,0.3051210227323916
11,,,,
11,Accepted-Wait,2011-10-02 05:40:28,180510646.0,0.8512283266630988
11,,,,
11,Accepted-In Progress,2012-02-15 20:01:20,192312698.0,0.9999999987394425
11,,,,
12,,,,
12,Unmatched-Unmatched,2009-09-14 18:37:50,115930088.0,0.0
12,,,,
13,,,,
13,Accepted-In Progress,2009-09-28 18:26:19,117138997.0,0.0
13,,,,
13,Queued-Awaiting Assignment,2010-04-08 19:09:22,133730380.0,0.19817650505534135
13,,,,
13,Accepted-In Progress,2010-04-12 17:05:58,134068576.0,0.20221610207408874
13,,,,
13,Accepted-In Progress,2011-10-18 23:09:14,181955972.0,0.7742092129245304
13,,,,
13,Completed-Closed,2012-05-24 18:03:31,200859229.0,0.9999999988055457
14,,,,
14,Unmatched-Unmatched,2009-11-17 22:07:38,121472276.0,0.0
14,,,,
15,,,,
15,Completed-Closed,2012-02-07 21:22:11,191626349.0,0.0
16,,,,
16,Accepted-Assigned,2009-09-22 21:25:17,116631335.0,0.0
16,,,,
17,,,,
17,Accepted-Assigned,2010-01-04 17:00:17,125601035.0,0.0
17,,,,
17,Accepted-Assigned,2010-11-09 20:35:55,152311573.0,0.36979605380345854
17,,,,
17,Accepted-In Progress,2012-03-30 15:00:47,196096265.0,0.9759765178060877
17,,,,
17,Accepted-In Progress,2012-04-19 17:01:14,197831492.0,0.9999999986155426
17,,,,
18,,,,
18,Accepted-Wait,2009-12-02 22:24:37,122769295.0,0.0
18,,,,
18,Accepted-In Progress,2012-02-01 17:46:54,191095032.0,0.9999999985364227
18,,,,
19,,,,
19,Unmatched-Unmatched,2009-10-27 17:57:26,119642864.0,0.0
19,,,,
19,Accepted-In Progress,2010-03-02 21:46:10,130542988.0,0.14255276142345297
19,,,,
19,Accepted-Assigned,2011-04-11 16:10:20,165514838.0,0.5999176308127171
19,,,,
19,Accepted-Wait,2011-11-28 16:21:27,185473905.0,0.8609440298046656
19,,,,
19,Completed-Closed,2012-03-30 17:53:53,196106651.0,0.9999999986921915
20,,,,
20,Accepted-Wait,2009-10-27 17:42:49,119641987.0,0.0
20,,,,
20,Accepted-In Progress,2010-03-02 21:44:26,130542884.0,0.1666478423606769
20,,,,
20,Accepted-Wait,2010-06-14 05:32:03,139470141.0,0.30312359451660037
20,,,,
20,Accepted-Wait,2011-11-23 19:55:39,185054757.0,0.9999999984712465
20,,,,
21,,,,
21,Accepted-Assigned,2009-10-30 21:57:13,119916451.0,0.0
21,,,,
21,Accepted-In Progress,2010-03-02 21:45:25,130542943.0,0.13947314517544665
21,,,,
21,Completed-Closed,2012-03-30 17:54:30,196106688.0,0.999999998687496
22,,,,
22,Accepted-In Progress,2010-03-03 23:51:55,130636933.0,0.0
22,,,,
22,Accepted-Assigned,2010-05-25 00:04:58,137722516.0,0.1078035200547595
22,,,,
22,Accepted-In Progress,2012-04-02 17:18:59,196363757.0,0.9999999984785511
22,,,,
23,,,,
23,Accepted-In Progress,2009-11-24 17:41:50,122061128.0,0.0
23,,,,
23,Accepted-In Progress,2011-03-28 18:52:46,164314984.0,0.5613997412277707
23,,,,
23,Completed-Closed,2012-04-13 20:41:36,197326314.0,0.9999999986713646
24,,,,
24,Accepted-In Progress,2010-09-17 17:33:52,147721450.0,0.0
24,,,,
24,Accepted-Assigned,2010-11-23 23:10:22,153530440.0,0.1663074731123168
24,,,,
24,Accepted-Wait,2011-01-12 01:13:42,157771440.0,0.28772444808891956
24,,,,
