CaseID,Activity,time:timestamp
1,Activity A,0.0
1,Activity D,8.188966863648876
1,Activity C,8.188966863648876
1,Activity B,8.881975184248867
1,,
1,Activity H,9.575052927597383
1,,
1,Activity J,9.980494888896912
2,Activity A,0.0
2,Activity C,8.188966863648876
2,,
2,Activity B,8.881975184248867
2,,
2,Activity I,9.575052927597383
2,,
2,Activity J,9.980494888896912
3,Activity A,0.0
3,Activity D,8.188966863648876
3,,
3,,
3,Activity E,9.287394001418473
3,Activity I,9.575052927597383
3,,
3,,
4,,
4,Activity D,8.188966863648876
4,,
4,Activity B,8.881975184248867
4,,
4,,
4,Activity F,9.798182590890704
4,,
5,,
5,Activity D,8.188966863648876
5,Activity C,8.188966863648876
5,Activity B,8.881975184248867
5,,
5,,
5,Activity F,9.798182590890704
5,,
6,,
6,Activity C,8.188966863648876
6,Activity D,8.188966863648876
6,,
6,Activity E,9.287394001418473
6,,
6,Activity F,9.798182590890704
6,,
7,Activity A,0.0
7,Activity C,8.188966863648876
7,Activity D,8.188966863648876
7,,
7,,
7,Activity H,9.575052927597383
7,Activity F,9.798182590890704
7,Activity J,9.980494888896912
8,,
8,,
8,,
8,,
8,Activity E,9.287394001418473
8,,
8,,
8,,
9,,
9,,
9,,
9,,
9,Activity E,9.287394001418473
9,,
9,Activity F,9.798182590890704
9,Activity J,9.980494888896912
10,,
10,,
10,Activity C,8.188966863648876
10,,
10,,
10,,
10,,
10,Activity J,9.980494888896912
11,Activity A,0.0
11,Activity D,8.188966863648876
11,,
11,,
11,Activity E,9.287394001418473
11,Activity G,9.575052927597383
11,Activity F,9.798182590890704
11,,
12,Activity A,0.0
12,,
12,Activity D,8.188966863648876
12,Activity B,8.881975184248867
12,Activity E,9.287394001418473
12,Activity H,9.575052927597383
12,Activity F,9.798182590890704
12,Activity J,9.980494888896912
13,Activity A,0.0
13,,
13,Activity D,8.188966863648876
13,Activity B,8.881975184248867
13,Activity E,9.287394001418473
13,Activity G,9.575052927597383
13,Activity F,9.798182590890704
13,Activity J,9.980494888896912
14,,
14,,
14,,
14,Activity B,8.881975184248867
14,,
14,Activity H,9.575052927597383
14,Activity F,9.798182590890704
14,Activity J,9.980494888896912
15,,
15,Activity D,8.188966863648876
15,,
15,Activity B,8.881975184248867
15,,
15,,
15,,
15,,
16,Activity A,0.0
16,Activity D,8.188966863648876
16,,
16,,
16,,
