CaseID,Activity,time:timestamp
1,Activity A,0.0
1,Activity D,8.188966863648876
1,Activity C,8.188966863648876
1,Activity B,8.881975184248867
1,Activity E,9.287394001418473
1,Activity H,9.575052927597383
1,Activity F,9.798182590890704
1,Activity J,9.980494888896912
2,Activity A,0.0
2,Activity C,8.188966863648876
2,Activity D,8.188966863648876
2,Activity B,8.881975184248867
2,Activity E,9.287394001418473
2,Activity I,9.575052927597383
2,Activity F,9.798182590890704
2,Activity J,9.980494888896912
3,Activity A,0.0
3,Activity D,8.188966863648876
3,Activity C,8.188966863648876
3,Activity B,8.881975184248867
3,Activity E,9.287394001418473
3,Activity I,9.575052927597383
3,Activity F,9.798182590890704
3,Activity J,9.980494888896912
4,Activity A,0.0
4,Activity D,8.188966863648876
4,Activity C,8.188966863648876
4,Activity B,8.881975184248867
4,Activity E,9.287394001418473
4,Activity G,9.575052927597383
4,Activity F,9.798182590890704
4,Activity J,9.980494888896912
5,Activity A,0.0
5,Activity D,8.188966863648876
5,Activity C,8.188966863648876
5,Activity B,8.881975184248867
5,Activity E,9.287394001418473
5,Activity H,9.575052927597383
5,Activity F,9.798182590890704
5,Activity J,9.980494888896912
6,Activity A,0.0
6,Activity C,8.188966863648876
6,Activity D,8.188966863648876
6,Activity B,8.881975184248867
6,Activity E,9.287394001418473
6,Activity H,9.575052927597383
6,Activity F,9.798182590890704
6,Activity J,9.980494888896912
7,Activity A,0.0
7,Activity C,8.188966863648876
7,Activity D,8.188966863648876
7,Activity B,8.881975184248867
7,Activity E,9.287394001418473
7,Activity H,9.575052927597383
7,Activity F,9.798182590890704
7,Activity J,9.980494888896912
8,Activity A,0.0
8,Activity C,8.188966863648876
8,Activity D,8.188966863648876
8,Activity B,8.881975184248867
8,Activity E,9.287394001418473
8,Activity G,9.575052927597383
8,Activity F,9.798182590890704
8,Activity J,9.980494888896912
9,Activity A,0.0
9,Activity D,8.188966863648876
9,Activity C,8.188966863648876
9,Activity B,8.881975184248867
9,Activity E,9.287394001418473
9,Activity G,9.575052927597383
9,Activity F,9.798182590890704
9,Activity J,9.980494888896912
10,Activity A,0.0
10,Activity D,8.188966863648876
10,Activity C,8.188966863648876
10,Activity B,8.881975184248867
10,Activity E,9.287394001418473
10,Activity H,9.575052927597383
10,Activity F,9.798182590890704
10,Activity J,9.980494888896912
11,Activity A,0.0
11,Activity D,8.188966863648876
