CaseID,Activity,org:resource,time:timestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition
1,,,,,,
1,A_PARTLYSUBMITTED-COMPLETE,Value 1,0.28818203042163,9.90353755128617,A_PARTLYSUBMITTED,COMPLETE
1,,,,,,
1,W_Completeren aanvraag-SCHEDULE,Value 1,4.013297183299833,9.90353755128617,W_Completeren aanvraag,SCHEDULE
1,,,,,,
1,A_ACCEPTED-COMPLETE,Value 3,10.592620737787215,9.90353755128617,A_ACCEPTED,COMPLETE
1,,,,,,
1,A_FINALIZED-COMPLETE,Value 3,10.596277094151556,9.90353755128617,A_FINALIZED,COMPLETE
1,,,,,,
1,O_SENT-COMPLETE,Value 3,10.596330536835847,9.90353755128617,O_SENT,COMPLETE
1,,,,,,
1,W_Completeren aanvraag-COMPLETE,Value 2,10.596393979118448,9.90353755128617,W_Completeren aanvraag,COMPLETE
1,,,,,,
1,W_Nabellen offertes-COMPLETE,Value 2,10.643169450896117,9.90353755128617,W_Nabellen offertes,COMPLETE
1,,,,,,
1,W_Nabellen offertes-COMPLETE,Value 4,13.403016816784055,9.90353755128617,W_Nabellen offertes,COMPLETE
1,,,,,,
1,O_SENT_BACK-COMPLETE,Value 5,13.613223149881803,9.90353755128617,O_SENT_BACK,COMPLETE
1,,,,,,
1,W_Nabellen offertes-COMPLETE,Value 5,13.613225748854491,9.90353755128617,W_Nabellen offertes,COMPLETE
1,,,,,,
1,A_REGISTERED-COMPLETE,Value 6,13.88571333189072,9.90353755128617,A_REGISTERED,COMPLETE
1,,,,,,
1,O_ACCEPTED-COMPLETE,Value 6,13.88571333189072,9.90353755128617,O_ACCEPTED,COMPLETE
1,,,,,,
1,W_Valideren aanvraag-COMPLETE,Value 6,13.885720603061477,9.90353755128617,W_Valideren aanvraag,COMPLETE
2,,,,,,
2,A_PARTLYSUBMITTED-COMPLETE,Value 1,10.204282610261536,8.517393171418904,A_PARTLYSUBMITTED,COMPLETE
2,,,,,,
2,W_Completeren aanvraag-SCHEDULE,Value 1,10.206404187488667,8.517393171418904,W_Completeren aanvraag,SCHEDULE
2,,,,,,
2,W_Completeren aanvraag-COMPLETE,Value 2,10.593370210334546,8.517393171418904,W_Completeren aanvraag,COMPLETE
2,,,,,,
2,A_ACCEPTED-COMPLETE,Value 3,10.821997180839364,8.517393171418904,A_ACCEPTED,COMPLETE
2,,,,,,
2,O_SELECTED-COMPLETE,Value 3,10.824217815094867,8.517393171418904,O_SELECTED,COMPLETE
2,,,,,,
2,O_SENT-COMPLETE,Value 3,10.824249015779872,8.517393171418904,O_SENT,COMPLETE
2,,,,,,
2,W_Completeren aanvraag-COMPLETE,Value 2,10.824273067717739,8.517393171418904,W_Completeren aanvraag,COMPLETE
2,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,10.825009537512912,8.517393171418904,W_Nabellen offertes,COMPLETE
2,,,,,,
2,O_SELECTED-COMPLETE,Value 7,12.352137227954804,8.517393171418904,O_SELECTED,COMPLETE
2,,,,,,
2,O_CREATED-COMPLETE,Value 7,12.35214535912045,8.517393171418904,O_CREATED,COMPLETE
2,,,,,,
2,W_Nabellen offertes-SCHEDULE,Value 2,12.35214677623533,8.517393171418904,W_Nabellen offertes,SCHEDULE
2,,,,,,
2,W_Nabellen offertes-START,Value 2,12.352210937450865,8.517393171418904,W_Nabellen offertes,START
2,,,,,,
2,W_Nabellen offertes-START,Value 5,13.60738034166108,8.517393171418904,W_Nabellen offertes,START
2,,,,,,
2,W_Valideren aanvraag-SCHEDULE,Value 5,13.607453267097908,8.517393171418904,W_Valideren aanvraag,SCHEDULE
2,,,,,,
2,W_Valideren aanvraag-START,Value 8,13.611719858792936,8.517393171418904,W_Valideren aanvraag,START
2,,,,,,
2,W_Valideren aanvraag-START,Value 8,13.62480827438003,8.517393171418904,W_Valideren aanvraag,START
2,,,,,,
2,W_Valideren aanvraag-START,Value 8,13.62503903543884,8.517393171418904,W_Valideren aanvraag,START
2,,,,,,
2,A_APPROVED-COMPLETE,Value 8,13.625224683219226,8.517393171418904,A_APPROVED,COMPLETE
2,,,,,,
2,A_ACTIVATED-COMPLETE,Value 8,13.625224683219226,8.517393171418904,A_ACTIVATED,COMPLETE
2,,,,,,
3,,,,,,
3,A_PARTLYSUBMITTED-COMPLETE,Value 1,10.207548936185686,8.853808274977197,A_PARTLYSUBMITTED,COMPLETE
3,,,,,,
3,W_Completeren aanvraag-SCHEDULE,Value 1,10.209126579492944,8.853808274977197,W_Completeren aanvraag,SCHEDULE
3,,,,,,
3,W_Completeren aanvraag-COMPLETE,Value 9,10.582436691230562,8.853808274977197,W_Completeren aanvraag,COMPLETE
3,,,,,,
3,W_Completeren aanvraag-COMPLETE,Value 2,12.261312778144855,8.853808274977197,W_Completeren aanvraag,COMPLETE
3,,,,,,
3,W_Completeren aanvraag-COMPLETE,Value 10,12.297921236397036,8.853808274977197,W_Completeren aanvraag,COMPLETE
3,,,,,,
3,A_ACCEPTED-COMPLETE,Value 10,12.298386864650052,8.853808274977197,A_ACCEPTED,COMPLETE
3,,,,,,
3,O_SELECTED-COMPLETE,Value 10,12.299977684040087,8.853808274977197,O_SELECTED,COMPLETE
3,,,,,,
3,O_SENT-COMPLETE,Value 10,12.29998232236069,8.853808274977197,O_SENT,COMPLETE
3,,,,,,
3,W_Completeren aanvraag-COMPLETE,Value 10,12.299988744965098,8.853808274977197,W_Completeren aanvraag,COMPLETE
3,,,,,,
3,O_SELECTED-COMPLETE,Value 10,12.30108311224299,8.853808274977197,O_SELECTED,COMPLETE
3,,,,,,
3,O_CREATED-COMPLETE,Value 10,12.301092442268326,8.853808274977197,O_CREATED,COMPLETE
3,,,,,,
3,W_Nabellen offertes-SCHEDULE,Value 10,12.301093729004693,8.853808274977197,W_Nabellen offertes,SCHEDULE
3,,,,,,
3,W_Nabellen offertes-START,Value 2,13.636020556929772,8.853808274977197,W_Nabellen offertes,START
3,,,,,,
3,W_Nabellen offertes-START,Value 11,13.647648685037053,8.853808274977197,W_Nabellen offertes,START
3,,,,,,
3,W_Nabellen offertes-START,Value 9,13.986620396849132,8.853808274977197,W_Nabellen offertes,START
3,,,,,,
3,W_Nabellen offertes-START,Value 12,14.187739306211052,8.853808274977197,W_Nabellen offertes,START
3,,,,,,
3,O_CANCELLED-COMPLETE,Value 12,14.187839367033419,8.853808274977197,O_CANCELLED,COMPLETE
3,,,,,,
3,O_SENT-COMPLETE,Value 12,14.187840607462485,8.853808274977197,O_SENT,COMPLETE
3,,,,,,
3,W_Nabellen offertes-COMPLETE,Value 12,14.1878422524066,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,,,,
3,W_Nabellen offertes-COMPLETE,Value 2,14.562352351437303,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,,,,
3,W_Nabellen offertes-COMPLETE,Value 13,14.615491474559777,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,,,,
3,W_Nabellen offertes-COMPLETE,Value 14,14.716714463039521,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,,,,
3,W_Nabellen offertes-COMPLETE,Value 15,14.822377180195241,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,,,,
3,W_Nabellen offertes-COMPLETE,Value 11,14.825560744253028,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,,,,
3,O_SENT_BACK-COMPLETE,Value 5,14.846198210450332,8.853808274977197,O_SENT_BACK,COMPLETE
3,,,,,,
3,W_Nabellen offertes-COMPLETE,Value 5,14.846199095218585,8.853808274977197,W_Nabellen offertes,COMPLETE
3,,,,,,
3,O_ACCEPTED-COMPLETE,Value 16,14.914245860732525,8.853808274977197,O_ACCEPTED,COMPLETE
3,,,,,,
3,A_REGISTERED-COMPLETE,Value 16,14.914245861065792,8.853808274977197,A_REGISTERED,COMPLETE
3,,,,,,
3,W_Valideren aanvraag-COMPLETE,Value 16,14.914248834028992,8.853808274977197,W_Valideren aanvraag,COMPLETE
3,,,,,,
4,,,,,,
4,A_PARTLYSUBMITTED-COMPLETE,Value 1,10.208966160547602,9.61587214452889,A_PARTLYSUBMITTED,COMPLETE
4,,,,,,
5,,,,,,
5,A_PARTLYSUBMITTED-COMPLETE,Value 1,10.218902343476989,8.517393171418904,A_PARTLYSUBMITTED,COMPLETE
5,,,,,,
6,,,,,,
6,A_PARTLYSUBMITTED-COMPLETE,Value 1,10.39825802941988,9.510519035757246,A_PARTLYSUBMITTED,COMPLETE
6,,,,,,
