CaseID,Activity,org:resource,time:timestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition
1,A_SUBMITTED-COMPLETE,Value 1,0.0,9.90353755128617,A_SUBMITTED,COMPLETE
1,,,,,,
1,,,,,,
1,W_Completeren aanvraag-SCHEDULE,Value 1,4.013297183299833,9.90353755128617,W_Completeren aanvraag,SCHEDULE
1,,,,,,
1,,,,,,
1,O_SELECTED-COMPLETE,Value 3,10.596277094151556,9.90353755128617,O_SELECTED,COMPLETE
1,,,,,,
1,,,,,,
1,O_SENT-COMPLETE,Value 3,10.596330536835847,9.90353755128617,O_SENT,COMPLETE
1,,,,,,
1,,,,,,
1,W_Nabellen offertes-START,Value 2,10.64107602604588,9.90353755128617,W_Nabellen offertes,START
1,,,,,,
1,,,,,,
1,W_Nabellen offertes-COMPLETE,Value 4,13.403016816784055,9.90353755128617,W_Nabellen offertes,COMPLETE
1,,,,,,
1,,,,,,
1,W_Valideren aanvraag-SCHEDULE,Value 5,13.613224241867382,9.90353755128617,W_Valideren aanvraag,SCHEDULE
1,,,,,,
1,,,,,,
1,A_REGISTERED-COMPLETE,Value 6,13.88571333189072,9.90353755128617,A_REGISTERED,COMPLETE
1,,,,,,
1,,,,,,
1,A_ACTIVATED-COMPLETE,Value 6,13.88571333189072,9.90353755128617,A_ACTIVATED,COMPLETE
1,,,,,,
2,A_SUBMITTED-COMPLETE,Value 1,10.204136811444984,8.517393171418904,A_SUBMITTED,COMPLETE
2,,,,,,
2,,,,,,
2,W_Completeren aanvraag-SCHEDULE,Value 1,10.206404187488667,8.517393171418904,W_Completeren aanvraag,SCHEDULE
2,,,,,,
2,,,,,,
2,W_Completeren aanvraag-START,Value 2,10.814850744000982,8.517393171418904,W_Completeren aanvraag,START
2,,,,,,
2,,,,,,
2,O_SELECTED-COMPLETE,Value 3,10.824217815094867,8.517393171418904,O_SELECTED,COMPLETE
2,,,,,,
2,,,,,,
2,W_Nabellen offertes-SCHEDULE,Value 2,10.824250986945184,8.517393171418904,W_Nabellen offertes,SCHEDULE
2,,,,,,
2,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,10.825009537512912,8.517393171418904,W_Nabellen offertes,COMPLETE
2,,,,,,
2,,,,,,
2,O_CANCELLED-COMPLETE,Value 7,12.352137227954804,8.517393171418904,O_CANCELLED,COMPLETE
2,,,,,,
2,,,,,,
2,W_Nabellen offertes-SCHEDULE,Value 2,12.35214677623533,8.517393171418904,W_Nabellen offertes,SCHEDULE
2,,,,,,
2,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,12.35239137986915,8.517393171418904,W_Nabellen offertes,COMPLETE
2,,,,,,
